REGIÃO ;PAÍS;CONSUMO DE PETRÓLEO em mil barris por dia;ANO
Europa e Eurásia;Holanda;970,787535;2011
Europa e Eurásia;Hungria;155,114058;2011
Europa e Eurásia;Islândia;14,336082;2011
Europa e Eurásia;Irlanda;146,309762;2011
Europa e Eurásia;Itália;1475,469048;2011
Europa e Eurásia;Letônia;33,56388;2011
Europa e Eurásia;Lituânia;53,292562;2011
Europa e Eurásia;Luxemburgo;61,292707;2011
Europa e Eurásia;Macedônia;19,556172;2011
Europa e Eurásia;Noruega;226,712609;2011
Europa e Eurásia;Polônia;591,662061;2011
Europa e Eurásia;Portugal;255,897293;2011
Europa e Eurásia;Reino Unido;1600,453337;2011
Europa e Eurásia;República Tcheca;201,181782;2011
Europa e Eurásia;Romênia;190,765479;2011
Europa e Eurásia;Rússia;3073,755173;2011
Europa e Eurásia;Suécia;309,483566;2011
Europa e Eurásia;Suíça;234,500136;2011
Europa e Eurásia;Turcomenistão;124,633836;2011
Europa e Eurásia;Turquia;672,766521;2011
Europa e Eurásia;Ucrânia;278,078151;2011
Europa e Eurásia;Uzbequistão;70,962219;2011
Europa e Eurásia;Outros;384,847045;2011
Oriente Médio;Arábia Saudita;3294,622038;2011
Oriente Médio;Catar;245,718467;2011
Oriente Médio;Coveite;444,387695;2011
Oriente Médio;Emirados Árabes Unidos;734,66603;2011
Oriente Médio;Irã;1850,873226;2011
Oriente Médio;Iraque;629,223461;2011
Oriente Médio;Israel;254,339757;2011
Oriente Médio;Omã;146,122575;2011
Oriente Médio;Outros;701,011346;2011
África;África do Sul;541,615261;2011
África;África Central;215,758575;2011
África;África Ocidental;539,802393;2011
África;África Oriental;444,80915;2011
África;Argélia;349,471781;2011
África;Egito;720,198818;2011
África;Marrocos;274,595871;2011
África;Outros Norte da África;262,469529;2011
África;Outros Sul da África;49,016556;2011
Ásia-Pacífico;Austrália;1000,734529;2011
Ásia-Pacífico;Bangladesh;103,681151;2011
Ásia-Pacífico;China;9807,866391;2011
Ásia-Pacífico;Cingapura;1208,10066;2011
Ásia-Pacífico;Coreia do Sul;2401,445154;2011
Ásia-Pacífico;Hong Kong;360,847862;2011
Ásia-Pacífico;Filipinas;297,99726;2011
Ásia-Pacífico;Índia;3549,747738;2011
Ásia-Pacífico;Indonésia;1590,017159;2011
Ásia-Pacífico;Japão;4441,860634;2011
Ásia-Pacífico;Malásia;724,098484;2011
Ásia-Pacífico;Nova Zelândia;149,91132;2011
Ásia-Pacífico;Paquistão;414,273997;2011
Ásia-Pacífico;Sri Lanka;91,688604;2011
Ásia-Pacífico;Tailândia;1184,364853;2011
Ásia-Pacífico;Taiwan;950,447111;2011
Ásia-Pacífico;Vietnã;361,382301;2011
Ásia-Pacífico;Outros;303,974844;2011
América do Norte;Canadá;2375,662996;2012
América do Norte;Estados Unidos;18490,21585;2012
América do Norte;México;2082,999487;2012
Américas Central e do Sul;Argentina;635,630733;2012
Américas Central e do Sul;Brasil;2884,242262;2012
Américas Central e do Sul;Chile;375,604931;2012
Américas Central e do Sul;Colômbia;295,140301;2012
Américas Central e do Sul;Equador;232,975579;2012
Américas Central e do Sul;Peru;215,440574;2012
Américas Central e do Sul;Trinidad e Tobago;39,984041;2012
Américas Central e do Sul;Venezuela;792,131803;2012
Américas Central e do Sul;Outros;1243,952469;2012
Europa e Eurásia;Alemanha;2351,645328;2012
Europa e Eurásia;Áustria;257,704906;2012
Europa e Eurásia;Azerbaijão;92,054489;2012
Europa e Eurásia;Bélgica;645,265268;2012
Europa e Eurásia;Bielorrússia;211,051175;2012
Europa e Eurásia;Bulgária;86,554472;2012
Europa e Eurásia;Cazaquistão;245,049185;2012
Europa e Eurásia;Chipre;51,408634;2012
Europa e Eurásia;Croácia;65,626437;2012
Europa e Eurásia;Dinamarca;158,468538;2012
Europa e Eurásia;Eslováquia;74,056175;2012
